"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2022","238.19","249.82","263.84","233.87","28.62M","-6.64%"
"11/01/2022","255.14","235.00","255.14","213.43","27.61M","9.91%"
"10/01/2022","232.13","235.41","251.04","219.13","671.37M","-0.33%"
"09/01/2022","232.90","258.87","267.45","232.73","575.60M","-10.93%"
"08/01/2022","261.47","277.82","294.18","260.66","477.18M","-6.86%"
"07/01/2022","280.74","256.39","282.00","245.94","534.99M","9.31%"
"06/01/2022","256.83","275.20","277.69","241.51","621.50M","-5.53%"
"05/01/2022","271.87","277.71","290.88","246.44","742.90M","-2.04%"
"04/01/2022","277.52","309.37","315.11","270.00","627.39M","-9.99%"
"03/01/2022","308.31","296.40","315.95","270.00","734.35M","3.19%"
"02/01/2022","298.79","310.41","315.12","271.52","697.37M","-3.92%"
"01/01/2022","310.98","335.35","338.00","276.05","947.99M","-7.53%"
"12/01/2021","336.32","335.13","344.30","317.25","625.97M","1.73%"
"11/01/2021","330.59","331.36","349.67","326.37","509.89M","-0.31%"
"10/01/2021","331.62","282.12","332.00","280.25","516.52M","17.63%"
"09/01/2021","281.92","302.86","305.32","281.62","502.93M","-6.61%"
"08/01/2021","301.88","286.36","305.84","283.74","441.33M","5.96%"
"07/01/2021","284.91","269.61","290.15","269.60","522.69M","5.17%"
"06/01/2021","270.90","251.23","271.65","243.00","508.57M","8.50%"
"05/01/2021","249.68","253.40","254.35","238.07","495.09M","-0.99%"
"04/01/2021","252.18","238.47","263.19","238.05","568.70M","6.96%"
"03/01/2021","235.77","235.90","241.05","224.26","724.98M","1.46%"
"02/01/2021","232.38","235.06","246.13","227.88","490.98M","0.18%"
"01/01/2021","231.96","222.53","242.64","211.94","648.00M","4.29%"
"12/01/2020","222.42","214.51","227.18","209.11","594.57M","3.90%"
"11/01/2020","214.07","204.29","228.12","200.12","573.47M","5.73%"
"10/01/2020","202.47","213.49","225.21","199.62","631.67M","-3.74%"
"09/01/2020","210.33","225.51","232.86","196.25","768.53M","-6.74%"
"08/01/2020","225.53","211.52","231.15","203.14","692.50M","10.01%"
"07/01/2020","205.01","203.14","216.38","197.51","770.51M","0.74%"
"06/01/2020","203.51","182.54","204.40","181.35","765.01M","11.06%"
"05/01/2020","183.25","175.80","187.51","173.80","688.96M","2.25%"
"04/01/2020","179.21","153.00","180.40","150.36","984.81M","13.63%"
"03/01/2020","157.71","165.31","175.00","132.52","1.61B","-2.65%"
"02/01/2020","162.01","170.43","190.70","152.00","887.89M","-4.83%"
"01/01/2020","170.23","158.78","174.05","156.51","559.25M","7.95%"
"12/01/2019","157.70","151.81","159.55","146.65","452.66M","4.17%"
"11/01/2019","151.38","144.26","152.50","142.96","393.03M","5.59%"
"10/01/2019","143.37","139.66","145.67","133.22","563.29M","3.12%"
"09/01/2019","139.03","136.61","142.37","134.51","477.65M","0.85%"
"08/01/2019","137.86","137.00","140.94","130.78","585.58M","1.17%"
"07/01/2019","136.27","136.63","141.68","134.67","484.55M","1.72%"
"06/01/2019","133.96","123.85","138.40","119.01","508.32M","8.31%"
"05/01/2019","123.68","130.53","130.65","123.04","547.22M","-5.30%"
"04/01/2019","130.60","118.95","131.37","118.10","433.16M","10.73%"
"03/01/2019","117.94","112.89","120.82","108.80","589.05M","5.28%"
"02/01/2019","112.03","103.78","113.24","102.35","469.10M","7.28%"
"01/01/2019","104.43","99.55","107.90","97.20","714.20M","2.82%"
"12/01/2018","101.57","113.00","113.42","93.96","944.29M","-8.40%"
"11/01/2018","110.89","107.05","112.24","99.35","720.23M","3.82%"
"10/01/2018","106.81","114.75","116.18","100.11","927.55M","-6.61%"
"09/01/2018","114.37","110.85","115.29","107.23","480.26M","1.82%"
"08/01/2018","112.33","106.03","112.78","104.84","456.63M","5.89%"
"07/01/2018","106.08","98.10","111.15","98.00","569.50M","7.58%"
"06/01/2018","98.61","99.28","102.69","97.26","602.59M","-0.23%"
"05/01/2018","98.84","93.21","99.99","92.45","509.42M","5.69%"
"04/01/2018","93.52","90.47","97.90","87.51","668.26M","2.47%"
"03/01/2018","91.27","93.99","97.24","87.08","750.75M","-2.67%"
"02/01/2018","93.77","94.79","96.07","83.83","725.66M","-1.31%"
"01/01/2018","95.01","86.13","95.45","85.50","574.26M","11.07%"